date,nberg_recession_indicator,federal_funds_rate,unemployment_rate,employment_population_ratio,yield_curve
2021-05-01,0.0,0.05,5.8,58.0,
2021-06-01,0.0,0.06,5.9,58.1,1.46
2021-07-01,0.0,0.1,5.4,58.4,1.23
2021-08-01,0.0,0.07,5.1,58.6,
2021-09-01,0.0,0.08,4.7,58.8,1.11
2021-10-01,0.0,0.08,4.5,59.0,1.21
2021-11-01,0.0,0.08,4.1,59.3,1.08
2021-12-01,0.0,0.08,3.9,59.6,0.87
2022-01-01,0.0,0.07,4.0,59.7,
2022-02-01,0.0,0.08,3.8,59.8,0.63
2022-03-01,0.0,0.08,3.6,60.1,0.41
2022-04-01,0.0,0.33,3.7,59.9,-0.05
2022-05-01,0.0,0.33,3.6,60.0,
2022-06-01,0.0,0.83,3.6,59.9,0.28
2022-07-01,0.0,1.58,3.5,60.0,0.04
2022-08-01,0.0,2.33,3.6,60.1,-0.3
2022-09-01,0.0,2.33,3.5,60.1,-0.25
2022-10-01,0.0,3.08,3.6,60.0,
2022-11-01,0.0,3.08,3.6,59.9,-0.47
2022-12-01,0.0,3.83,3.5,60.1,-0.72
2023-01-01,0.0,4.33,3.4,60.2,
2023-02-01,0.0,4.33,3.6,60.2,-0.7
2023-03-01,0.0,4.58,3.5,60.4,-0.88
2023-04-01,0.0,4.83,3.4,60.4,
2023-05-01,0.0,4.83,3.7,60.3,-0.55
2023-06-01,0.0,5.08,3.6,60.3,-0.72
2023-07-01,0.0,5.08,3.5,60.4,
2023-08-01,0.0,5.33,3.8,60.4,-0.87
2023-09-01,0.0,5.33,3.8,60.4,-0.69
2023-10-01,0.0,5.33,3.8,60.3,
2023-11-01,0.0,5.33,3.7,60.4,-0.18
2023-12-01,0.0,5.33,3.7,60.1,-0.34
2024-01-01,0.0,5.33,3.7,60.2,
2024-02-01,0.0,5.33,3.9,60.1,-0.33
2024-03-01,0.0,5.33,3.8,60.3,-0.35
2024-04-01,0.0,5.33,3.9,60.2,-0.39
2024-05-01,0.0,5.33,4.0,60.1,-0.33
2024-06-01,0.0,5.33,4.1,60.1,
2024-07-01,0.0,5.33,4.3,60.0,-0.29
2024-08-01,0.0,5.33,4.2,60.0,-0.17
2024-09-01,0.0,5.33,4.1,60.2,
2024-10-01,0.0,4.83,4.1,60.0,0.13
2024-11-01,0.0,4.83,4.2,59.8,0.16
2024-12-01,0.0,4.58,,,
